trade_id,entry_idx,exit_idx,side,entry,exit,exit_reason,pnl,r_multiple,equity_after,prob
32,70814,70821,SHORT,88023.92294374999,88860.15021171562,SL,-78.36432098413972,-1.0,9498.755095338529,0.7949469857208769
33,71006,71020,SHORT,88194.70128124999,88412.90625,TIME_DECAY_SL,-19.57890302499291,-0.3276677391072524,9479.176192313536,0.6608374500950873
34,71035,71047,SHORT,88273.99791875001,88658.859375,TIME_DECAY_SL,-35.191936898071894,-0.5081196892319996,9443.984255415464,0.737653629287427
35,71176,71190,SHORT,87557.26629375,87820.0,TIME_DECAY_SL,-25.579305312891535,-0.37805809091304243,9418.404950102573,0.7277178781326106
36,71196,71203,SHORT,87771.6218515625,86604.2592809367,TP,107.22181251220512,1.181818181818183,9525.626762614778,0.8793253030275182
37,71273,71285,SHORT,86964.9238484375,87228.3828125,TIME_DECAY_SL,-23.728174449103218,-0.3808119966455715,9501.898588165675,0.6812543351214714
38,71292,71298,SHORT,87411.01430000001,87203.41314103751,SL,10.27439924415887,0.13636363636363305,9512.172987409835,0.7790157662849049
39,71304,71316,SHORT,87032.59,87407.6171875,TIME_DECAY_SL,-34.08275567475755,-0.5032577196096294,9478.090231735077,0.7245575729533231
40,71371,71392,SHORT,87475.15771875001,87706.1328125,TIME_DECAY_SL,-27.44738589951688,-0.34358516902207187,9450.64284583556,0.8100393577566425
41,71437,71440,SHORT,87269.30046093749,88098.3588153164,SL,-55.61949808286641,-1.0,9395.023347752694,0.6247285721730731
42,71757,71778,SHORT,87718.70275,87208.28954837343,DECAY_TP,25.654479749280622,0.4659090909090926,9420.677827501975,0.622398830410991
43,71790,71808,SHORT,87204.415003125,87459.9765625,TIME_DECAY_SL,-21.30848060354346,-0.3713496123431907,9399.369346898431,0.6436208922620297
44,72694,72703,SHORT,90003.27699375001,90858.30812519064,SL,-60.3606353827308,-1.0,9339.0087115157,0.6716753349885137
