coin,entry,exit,pos_usd,raw_ret,pnl,reason
NEAR,5.977263790171227,6.159,73.58463586441442,0.030404582465912267,2.1858008842586236,TRAILING_EMA20
SOL,155.17641859848337,171.944,87.77973329665947,0.10805495804683107,9.423589585424898,TRAILING_EMA20
SOL,174.73802571767615,170.48,84.98210112640892,-0.024368054407091888,-2.1303359346658035,TRAILING_EMA20
SOL,184.33603520697122,182.509,104.67854534973745,-0.009911438123966665,-1.1107899068855773,TRAILING_EMA20
NEAR,4.8044359934225,4.778,68.24366366438318,-0.005502413490093727,-0.4232754201253893,TRAILING_EMA20
SOL,155.80707058890226,154.202,111.15263224903389,-0.010301654365463597,-1.2228628418153533,TRAILING_EMA20
NEAR,4.802139214570346,4.724,65.25376320722538,-0.01627175120897384,-1.1074706346023198,TRAILING_EMA20
NEAR,4.303336278642234,4.421,64.25001202443596,0.02734244171010758,1.7117772002347462,TRAILING_EMA20
SOL,144.78853000780538,143.06,109.43379954840415,-0.011938307597378017,-1.383058020242539,TRAILING_EMA20
SOL,144.6227422512874,144.587,125.59293846786561,-0.00024714129141123475,-0.11895425793258597,TRAILING_EMA20
SOL,144.6177232487863,143.532,123.15465494757953,-0.007507539355453008,-1.0107966772894943,TRAILING_EMA20
NEAR,4.439327098768205,5.391,84.52235066349124,0.21437323271264663,18.060163902740086,TRAILING_EMA20
NEAR,5.391508042617566,5.377,67.06735044348751,-0.0026909062367869163,-0.22741909690359557,TRAILING_EMA20
SOL,147.65038970565524,156.107,111.08371034556173,0.05727455451491337,6.284511426663828,TRAILING_EMA20
SOL,156.25000660600614,155.56,165.67778566162153,-0.00441604209173585,-0.847614525110446,TRAILING_EMA20
SOL,150.73678800279066,152.53,124.0969082700914,0.011896312910529394,1.3894278162212064,TRAILING_EMA20
NEAR,4.874980291926004,4.84,125.32785793305501,-0.007175473505798391,-0.9870162246902393,TRAILING_EMA20
SOL,170.84989954217173,167.9,117.55847550879851,-0.017266030299558865,-2.1120591329610225,TRAILING_EMA20
SOL,173.18099005949836,175.69,155.26085506901012,0.014487790719060145,2.14070417655384,TRAILING_EMA20
NEAR,5.00898767767523,5.103,42.489959681840006,0.0187687270112038,0.767739482208223,TRAILING_EMA20
NEAR,5.7340022986875585,5.708,49.24702351147602,-0.004534755539513768,-0.25779612913126393,TRAILING_EMA20
NEAR,5.732904376023149,5.767,50.5899222253274,0.00594735612884989,0.265463338447111,TRAILING_EMA20
NEAR,5.776797442516228,5.799,55.66908675771761,0.0038434024569331537,0.17499034408943442,TRAILING_EMA20
SOL,214.33707049563958,233.87,83.16363433864778,0.09113183015514714,7.520639655597359,TRAILING_EMA20
SOL,235.97845581635806,232.97,84.68335103219201,-0.0127488579665056,-1.1388943601596857,TRAILING_EMA20
SOL,253.32660556870638,242.59217699727782,112.08696201613324,-0.04237386968230317,-4.8280191949681885,SL_WIDE
NEAR,6.09535161295479,6.405,47.43384028108337,0.05080074238655863,2.3764706123277257,TRAILING_EMA20
SOL,240.3338779558559,240.0,123.38147247596173,-0.0013892255170002699,-0.2577717206218457,TRAILING_EMA20
NEAR,6.560661340589707,6.89,64.50670861786982,0.05019900316645365,3.193017774133441,TRAILING_EMA20
NEAR,7.246279592936479,7.711,52.10763816726265,0.06413227658459664,3.3053061163958883,TRAILING_EMA20
NEAR,7.718407942062439,7.61,75.47415747019583,-0.014045376051148528,-1.1128948340416385,TRAILING_EMA20
SOL,237.63778990257313,236.08,99.36943691113912,-0.006555312196817598,-0.7209562876122845,TRAILING_EMA20
NEAR,7.706928043275602,7.676,91.72579520564278,-0.004013018300149773,-0.43230535139998477,TRAILING_EMA20
SOL,237.50126130458366,237.24,131.83558206577442,-0.0011000417561934928,-0.23730955267046794,TRAILING_EMA20
